;text;label;category
62;unprecedented;Loaded_Language;Manipulative_wording
63;surreal;Loaded_Language;Manipulative_wording
64;culminated;Loaded_Language;Manipulative_wording
65;fulsome;Loaded_Language;Manipulative_wording
66;triumphant;Loaded_Language;Manipulative_wording
67;extraordinary;Loaded_Language;Manipulative_wording
68;rogue kingdom;Name_Calling_Labeling;Attack_on_reputation
69;dramatic;Loaded_Language;Manipulative_wording
70;forever;Exaggeration_Minimisation;Manipulative_wording
71;Trump's gut-driven, norm-shattering tenure.;Name_Calling_Labeling;Attack_on_reputation
72;unwavering;Loaded_Language;Manipulative_wording
73;unthinkable;Loaded_Language;Manipulative_wording
74;acrimonious;Loaded_Language;Manipulative_wording
75;big dilemma;Loaded_Language;Manipulative_wording
76;big problem;Loaded_Language;Manipulative_wording
77;increasing the drama;Loaded_Language;Manipulative_wording
78;historic;Loaded_Language;Manipulative_wording
79;surreality;Loaded_Language;Manipulative_wording
80;hailed;Loaded_Language;Manipulative_wording
81;historic;Repetition;Manipulative_wording
82;historic;Repetition;Manipulative_wording
83;very talented man;Name_Calling_Labeling;Attack_on_reputation
84;praising;Loaded_Language;Manipulative_wording
85;very talented;Repetition;Manipulative_wording
86;brutal dictator;Repetition;Manipulative_wording
87;striking;Loaded_Language;Manipulative_wording
88;fierce criticism;Loaded_Language;Manipulative_wording
89;fearsome renegade;Loaded_Language;Manipulative_wording
90;`absolutely`;Loaded_Language;Manipulative_wording
91;heralded a new era;Exaggeration_Minimisation;Manipulative_wording
92;The world;Exaggeration_Minimisation;Manipulative_wording
93;commanding leader;Name_Calling_Labeling;Attack_on_reputation
94;world-altering;Exaggeration_Minimisation;Manipulative_wording
95;futuristic;Name_Calling_Labeling;Attack_on_reputation
96;dictator;Repetition;Manipulative_wording
97;Working together, we'll get it taken care of;Slogans;Call
98;foundation of lies;Loaded_Language;Manipulative_wording
99;huge;Loaded_Language;Manipulative_wording
100;beneficial;Name_Calling_Labeling;Attack_on_reputation
101;a good thing;Name_Calling_Labeling;Attack_on_reputation
102;Bypassing the class left her vulnerable to bullying;Black-and-White_Fallacy;
103;“You don’t need to be reading this.	You need to be reading the Bible.”;Black-and-White_Fallacy;
104;going to hell;Appeal_to_fear-prejudice;Justification
105;strongly;Loaded_Language;Manipulative_wording
106;pretty clear;Loaded_Language;Manipulative_wording
107;You are not a Christian;Name_Calling_Labeling;Attack_on_reputation
108;	(Faber was nominated by President George H.W.	Bush.)	;Red_Herring;Distraction
109;very, very;Loaded_Language;Manipulative_wording
110;extremely;Loaded_Language;Manipulative_wording
111;liberty of conscience is not up for a vote;Slogans;Call
112;If you die tonight.	Heaven or Hell?;Black-and-White_Fallacy;
113;totally false and deliberately libelous;Name_Calling_Labeling;Attack_on_reputation
114;willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange;Exaggeration_Minimisation;Manipulative_wording
115;I have never ;Repetition;Manipulative_wording
116;government-aligned cyberspies ;Name_Calling_Labeling;Attack_on_reputation
117;poison pill;Loaded_Language;Manipulative_wording
118;the worst school shootings in US history;Exaggeration_Minimisation;Manipulative_wording
119;hailed ;Loaded_Language;Manipulative_wording
120;for “certain” public adulterers;Loaded_Language;Manipulative_wording
121;cunning ecclesiastical politician;Loaded_Language;Manipulative_wording
122;All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does.	;Causal_Oversimplification;Simplification
123;And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow;Loaded_Language;Manipulative_wording
124;our intrepid presenters;Name_Calling_Labeling;Attack_on_reputation
125;all those ignorant critics of AL;Name_Calling_Labeling;Attack_on_reputation
126;all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—;Causal_Oversimplification;Simplification
127;those ignorant Vatican translators.;Name_Calling_Labeling;Attack_on_reputation
128;But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line.;Loaded_Language;Manipulative_wording
129;Our dynamic translators;Name_Calling_Labeling;Attack_on_reputation
130;synodal charade,;Loaded_Language;Manipulative_wording
131;In a sense, what Bergoglio is doing is worse than explicit heresy;Appeal_to_fear-prejudice;Justification
132;the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants.;Name_Calling_Labeling;Attack_on_reputation
133;the grim reality of this unprecedented pontificate;Loaded_Language;Manipulative_wording
134;the old reliable “mistranslation;Loaded_Language;Manipulative_wording
135;But wait, there’s more;Thought-terminating_Cliches;
136;Paddock could not have carried out the massacre;Black-and-White_Fallacy;
137;I’m not a big conspiracy theory guy, but it don’t sit right;Thought-terminating_Cliches;
138;Paddock’s body may have been left in the hotel room while other assailants carried out the shooting;Doubt;Attack_on_reputation
139;after virtually every terror attack and mass shooting, friends and neighbors express shock;Bandwagon;
140;I can tell you 100% this is not that kind of guy;Appeal_to_Authority;Justification
141;It’s gotta be a set-up;Doubt;Attack_on_reputation
142;This throws their entire narrative into question and makes one wonder what else is being hidden from the public?	;Doubt;Attack_on_reputation
143;seemingly covering up the ISIS connection;Doubt;Attack_on_reputation
144;Laura Loomer proves that authorities have directly lied to the American people ;Appeal_to_Authority;Justification
145;so-called evidence ;Doubt;Attack_on_reputation
146;lied to the American people;Flag-Waving;Justification
147;What Else Are They Hiding?	;Doubt;Attack_on_reputation
148;proving that the FBI specifically lied to the country.	;Repetition;Manipulative_wording
149;lied to the country.	;Flag-Waving;Justification
150;According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.;Appeal_to_Authority;Justification
151;so-called evidence;Name_Calling_Labeling;Attack_on_reputation
152;cannot be trusted and should be considered as disinformation;Doubt;Attack_on_reputation
153;munition was purchased under someone else’s name.	;Repetition;Manipulative_wording
154;it was a suicide note.;Repetition;Manipulative_wording
155;ile officials did not reveal the woman’s name, they did tell reporters she was a prostitute.	P;Red_Herring;Distraction
156;mo was bought under someone else’s name.”;Repetition;Manipulative_wording
157;anti-Israel BDS hate group;Name_Calling_Labeling;Attack_on_reputation
158;accused Jews of drinking blood.	;Loaded_Language;Manipulative_wording
159;EU no longer considers #Hamas a terrorist group.	Time for US to do same.`;Bandwagon;
160;Holocaust Syndrome” of entitlement.;Loaded_Language;Manipulative_wording
161;Hezbollah as “an armed-resistance movement”	;Name_Calling_Labeling;Attack_on_reputation
162;an anti-Israel;Repetition;Manipulative_wording
163;Its perversion;Loaded_Language;Manipulative_wording
164;accused Jews of drinking blood;Loaded_Language;Manipulative_wording
165;Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.	;Appeal_to_fear-prejudice;Justification
166;Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews.	Being Jewish is highly identified with being white because of Zionism;Flag-Waving;Justification
167;simmer;Loaded_Language;Manipulative_wording
168;We all have choices to make;Thought-terminating_Cliches;
169;Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews;Black-and-White_Fallacy;
170;just around the corner”.;Thought-terminating_Cliches;
171;very dirty and unappealing water under the Catholic bridge,;Loaded_Language;Manipulative_wording
172;Who can read this without cringing at what we now know was about to happen:	;Exaggeration_Minimisation,Loaded_Language;Manipulative_wording_Manipulative_wording
173;Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it.;Loaded_Language;Manipulative_wording
174;"The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard.	It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept.	It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”.	";Loaded_Language;Manipulative_wording
175;it was outright wicked.;Loaded_Language;Manipulative_wording
176;this sacramental reality that was about to be catastrophically obscured.	;Loaded_Language;Manipulative_wording
177;…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament.	;Black-and-White_Fallacy;
178;Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,”;Black-and-White_Fallacy;
179;	We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second.	They are men who refuse to bend the knee before the God whom they will not serve.	;Appeal_to_fear-prejudice;Justification
180;"The demonic forces we know are the driving force behind this supreme moment of heresy and destruction aren’t really looking at the undermining of marriage as their primary goal; they want to get at the Eucharist";Reductio_ad_hitlerum;
181;is demonically brilliant.;Loaded_Language;Manipulative_wording
182;will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration.;Loaded_Language;Manipulative_wording
183;But whatever its flaws, Mysterium Fidei is the one I found, and I’m convinced it wasn’t an accident.	;Thought-terminating_Cliches;
184;pernicious nonsense;Loaded_Language;Manipulative_wording
185;If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant;Black-and-White_Fallacy;
186;A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall;Appeal_to_fear-prejudice;Justification
187;why weren’t the police rushing to the scene immediately;Doubt;Attack_on_reputation
188;constantly changing story,;Doubt;Attack_on_reputation
189;While we may never know the exact circumstances;Doubt;Attack_on_reputation
190;As the days have become weeks, the weeks will become months, and survival will get more difficult;Thought-terminating_Cliches;
191;a natural disaster of a magnitude not seen in over a century;Exaggeration_Minimisation;Manipulative_wording
192;the unprecedented level of destruction;Exaggeration_Minimisation;Manipulative_wording
193;the hurricane-ravaged island ;Name_Calling_Labeling;Attack_on_reputation
194;wrath;Loaded_Language;Manipulative_wording
195;devastated;Loaded_Language;Manipulative_wording
196;we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis;Flag-Waving;Justification
197;hurricane-ravaged ;Loaded_Language;Manipulative_wording
198;series of shocking comments;Loaded_Language;Manipulative_wording
199;alot of different things are going to happen.;Obfuscation_Intentional_Vagueness_Confusion;Manipulative_wording
200;Take note that what he means here is that people were being shot at from ground level rather than the 32nd floor of the hotel.	;Straw_Men;Distraction
201;huge bombshell;Loaded_Language;Manipulative_wording
202;we are not being told what actually happened that fateful night.	;Doubt;Attack_on_reputation
203;a huge bombshell in the ongoing investigation;Doubt;Attack_on_reputation
204;while Francis does nothing;Whataboutism;Distraction
205;Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin.	This, though, is not what AL is saying.;Straw_Men;Distraction
206;Pope Francis explains this again in AL 305 when he says “a small step, in the midst of great human limitations, can be more pleasing to God than a life which appears outwardly in order;Appeal_to_Authority;Justification
207;With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical.;Doubt;Attack_on_reputation
208;A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause.	;Appeal_to_fear-prejudice;Justification
209;with an open heart and mind.	;Thought-terminating_Cliches;
210;with an open heart and mind, but above all with open eyes;Loaded_Language;Manipulative_wording
211;He mentions the Holy Father's letter to the Buenos Aires bishops, but he fails to take into account that the statement of those Argentine bishops can be interpreted in an orthodox way;Straw_Men;Distraction
212;I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.;Appeal_to_Authority;Justification
213;Does Mr. Ferrara believe that the Catholic Church under Pope Francis is a “Leviathan Church” and not the Catholic Church?	If this is so, then it would suggest that Mr. Ferrara is refusing submission to the Roman Pontiff and communion with the members of the Church subject to him.	;Black-and-White_Fallacy;
214;Dr. Fastiggi has succumbed to an unfortunate literal-mindedness.;Loaded_Language;Manipulative_wording
215;demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse.;Loaded_Language;Manipulative_wording
216;I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public.	;Doubt;Attack_on_reputation
217;Irony of ironies;Loaded_Language;Manipulative_wording
218;foot soldiers of a Leviathan Church;Name_Calling_Labeling;Attack_on_reputation
219;What exactly do they want us to believe?	;Doubt;Attack_on_reputation
220;There are obviously certain things that the FBI and other investigators seem intent on covering up.	;Doubt;Attack_on_reputation
221;so why change the narrative to make it even more unbelievable?	;Doubt;Attack_on_reputation
222;Slowly but surely ;Thought-terminating_Cliches;
223;astonishing eyewitness report;Loaded_Language;Manipulative_wording
224;Keep in mind, this is all information that the police and the FBI has hidden;Doubt;Attack_on_reputation
225;	Keep in mind, this is all information that the police and the FBI has hidden from the American people.	;Flag-Waving;Justification
226;it is strikingly obvious that authorities have lied to the American people;Repetition;Manipulative_wording
227;One can only speculate as to what the reasons for these lies actually are?;Doubt;Attack_on_reputation
228;less glamorous;Name_Calling_Labeling;Attack_on_reputation
229;you move closer to legalizing all illegals;Exaggeration_Minimisation;Manipulative_wording
230;Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,`;Appeal_to_fear-prejudice;Justification
231;people who hate the existence of Jewish nationhood.	Not of Jewish nationhood itself.	;Reductio_ad_hitlerum;
232;radical anti-Israel hate group;Name_Calling_Labeling;Attack_on_reputation
233;anti-Israel BDS hate group;Name_Calling_Labeling;Attack_on_reputation
234;accused Jews of drinking blood.;Loaded_Language;Manipulative_wording
235;anti-Semite;Name_Calling_Labeling;Attack_on_reputation
236;EU no longer considers #Hamas a terrorist group.	Time for US to do same.`;Bandwagon;
237;anti-Israel;Repetition;Manipulative_wording
238;go whine to the New York Times some more;Loaded_Language;Manipulative_wording
239;burn crosses on their lawn.	;Loaded_Language;Manipulative_wording
240;EU no longer considers #Hamas a terrorist group.	Time for US to do same;Appeal_to_Authority;Justification
241;terrified ;Loaded_Language;Manipulative_wording
242;If our Jewish institutions — particularly the American Jewish Historical Society — cannot accommodate dissent, and effectively exclude all Jewish anti-Zionists, then they have not only lost a rapidly growing Jewish population, but they have lost a key aspect of their Jewishness;Black-and-White_Fallacy;
243;knapsack of entitled nonsense;Loaded_Language;Manipulative_wording
244;whining ;Loaded_Language;Manipulative_wording
245;It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people;Reductio_ad_hitlerum;
246;Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn;Black-and-White_Fallacy;
247;conspiracy theorists”;Name_Calling_Labeling;Attack_on_reputation
248;Are they for real;Repetition;Manipulative_wording
249;Further, the FBI insists there is no jihad motive, while saying they don’t know his motive;Doubt;Attack_on_reputation
250;That raised a number of question;Doubt;Attack_on_reputation
251;Are they for real?	;Doubt;Attack_on_reputation
252;Do the FBI and law enforcement think people won’t talk about it or speculate as to what happened?	Are they for real?	;Doubt;Attack_on_reputation
253;contradicting a timeline they had offered earlier this week….;Doubt;Attack_on_reputation
254;These discrepancies on basic facts are feeding conspiracy theories.;Doubt;Attack_on_reputation
255;they want the public to believe;Doubt;Attack_on_reputation
256;His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas.	;Doubt;Attack_on_reputation
257;mysteriously vanished into thin air;Doubt;Attack_on_reputation
258;Mysteriously Vanished Into Thin Air;Repetition;Manipulative_wording
259;cramming lies down our throats;Loaded_Language;Manipulative_wording
260;vanishing into thin air.;Repetition;Manipulative_wording
261;they desperately want us to believe;Doubt;Attack_on_reputation
262;a good strategy was to blame the assassination on a communist because then they could smear anyone who challenged the official story as a communist sympathizer.	;Reductio_ad_hitlerum;
263;Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret;Flag-Waving;Justification
264;no reasonable person can honestly believe ;Exaggeration_Minimisation;Manipulative_wording
265;Really?	What, like the CIA was using typewriters instead of computers and pay telephones instead of cell phones;Doubt;Attack_on_reputation
266;the extreme nonchalance ;Exaggeration_Minimisation;Manipulative_wording
267;absolutely ludicrous ;Loaded_Language;Manipulative_wording
268;purported communist;Name_Calling_Labeling;Attack_on_reputation
269;Something dreadful ;Loaded_Language;Manipulative_wording
270;cherished long-secret records;Loaded_Language;Manipulative_wording
271;Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret.;Causal_Oversimplification;Simplification
272;once the CIA gives Trump what he wants, he will cave and give the CIA the continued secrecy it so desperately needs.;Causal_Oversimplification;Simplification
273;the two most important and meaningless words;Loaded_Language;Manipulative_wording
274;result in the United States falling into the ocean;Exaggeration_Minimisation;Manipulative_wording
275;the communists are going to take over the federal government.	;Exaggeration_Minimisation;Manipulative_wording
276;the extreme nonchalance;Loaded_Language;Manipulative_wording
277;It’s essentially an admission of guilt,;Causal_Oversimplification;Simplification
278;the mainstream media has never given any serious consideration;Exaggeration_Minimisation;Manipulative_wording
279;pat frame-up:;Loaded_Language;Manipulative_wording
280;They had to make certain that Oswald was not on to them and had not discovered that he was being set up for a frame-up.	;Causal_Oversimplification;Simplification
281;it knows that those records will further implicate the CIA in the Kennedy assassination.;Causal_Oversimplification;Simplification
282;by seeking continued secrecy, it’s essentially an implicit acknowledgment of guilt.	;Causal_Oversimplification;Simplification
283;because it knows that its assets and allies in the mainstream press will continue to come to its defense;Causal_Oversimplification;Simplification
284;the CIA steadfastly kept secret from the American people.	;Flag-Waving;Justification
285;Every American owes it to himself to read that manual.	;Flag-Waving;Justification
286;to keep some of the CIA’s decades-old JFK’s related assassination records secret from the American people.	;Flag-Waving;Justification
287;lone nut former U.S. Marine communist;Name_Calling_Labeling;Attack_on_reputation
288;That would enable the CIA to blame the assassination on a communist;Reductio_ad_hitlerum;
289;crisis of epic proportions;Exaggeration_Minimisation;Manipulative_wording
290;the blurry picture feels like it’s worth a good deal more than 1,000 words.	It illuminates just a small sliver of the public health crisis ;Loaded_Language;Manipulative_wording
291;the post-apocalyptic ravaged territory;Exaggeration_Minimisation;Manipulative_wording
292;The islands are grappling with ;Loaded_Language;Manipulative_wording
293;the power grid’s utter annihilation ;Exaggeration_Minimisation;Manipulative_wording
294;Crisis Of Epic Proportions;Loaded_Language;Manipulative_wording
295;devastating ;Loaded_Language;Manipulative_wording
296;devastated ;Loaded_Language;Manipulative_wording
297;The islands are grappling with physician shortages, Medicaid programs facing an impending funding cliff, and widespread disparities in Federal health programs—and that was before hurricane season;Appeal_to_fear-prejudice;Justification
298;but more can and should be done to help Americans impacted by these disasters;Flag-Waving;Justification
299;utter annihilation ;Loaded_Language;Manipulative_wording
300;looming crisis ;Loaded_Language;Manipulative_wording
301;hatemonger;Name_Calling_Labeling;Attack_on_reputation
302;Satan;Loaded_Language,Name_Calling_Labeling,Repetition;Manipulative_wording_Attack_on_reputation_Manipulative_wording
303;Satan;Loaded_Language,Name_Calling_Labeling,Repetition;Manipulative_wording_Attack_on_reputation_Manipulative_wording
304;grotesque;Loaded_Language;Manipulative_wording
305;white supremacist icon;Name_Calling_Labeling;Attack_on_reputation
306;“Jewish Zionist Agent.”;Name_Calling_Labeling;Attack_on_reputation
307;venomous;Loaded_Language;Manipulative_wording
308;Satan;Appeal_to_fear-prejudice,Loaded_Language,Name_Calling_Labeling,Repetition;Justification_Manipulative_wording_Attack_on_reputation_Manipulative_wording
309;Satan;Repetition;Manipulative_wording
310;“Death to Israel”;Slogans;Call
311;wicked and filth-ridden;Name_Calling_Labeling;Attack_on_reputation
312;grandson of a monkey and a pig;Name_Calling_Labeling;Attack_on_reputation
313;“monkeys and pigs.”	;Name_Calling_Labeling;Attack_on_reputation
314;Ku Klux Klan;Appeal_to_fear-prejudice;Justification
315;enamored;Loaded_Language;Manipulative_wording
316;white nationalist plowed his car into a group of people who were protesting the rally, killing one;Appeal_to_fear-prejudice;Justification
317;Racist Jewish Supremacists;Name_Calling_Labeling;Attack_on_reputation
318;Destruction;Loaded_Language;Manipulative_wording
319;wild;Loaded_Language;Manipulative_wording
320;absurd;Loaded_Language;Manipulative_wording
321;the greatest leader in modern Western history;Name_Calling_Labeling;Attack_on_reputation
322;hatemongering;Loaded_Language;Manipulative_wording
323;toxic hate;Loaded_Language;Manipulative_wording
324;Grand Wizard of the Ku Klux Klan;Name_Calling_Labeling;Attack_on_reputation
325;Dr.	David Duke Exposes the Real Racist Jewish Supremacists Who Orchestrate the Destruction of European Mankind…’;Appeal_to_fear-prejudice;Justification
326;Jewish extremists;Name_Calling_Labeling;Attack_on_reputation
327;a man to believe in!;Slogans;Call
328;Arch Deceiver;Name_Calling_Labeling;Attack_on_reputation
329; know exactly what the reaction would be if a student paper refused to publish any pro-Islamist content;Appeal_to_fear-prejudice;Justification
330;Kicked Off ;Loaded_Language;Manipulative_wording
331;First they came for the Jews.	And then they came for everyone else;Slogans;Call
332;kicked off ;Loaded_Language;Manipulative_wording
333;the campus anti-Israel crowd ;Name_Calling_Labeling;Attack_on_reputation
334;racist boycott movement ;Name_Calling_Labeling;Attack_on_reputation
335;utterly unacceptable;Exaggeration_Minimisation,Loaded_Language;Manipulative_wording_Manipulative_wording
336;punch a Zionist today;Slogans;Call
337;a toxic campus press;Name_Calling_Labeling;Attack_on_reputation
338;the absurd attacks ;Loaded_Language;Manipulative_wording
339;I have no doubt from the information circulated about me and campaign run against me prior to this vote that this was about my Jewish identity, and nothing more;Causal_Oversimplification;Simplification
340;blatant agenda;Loaded_Language;Manipulative_wording
341;why did a BDS-led campaign name and shame me for my affiliation with a Jewish organization, and call on students to remove me from student government for this reason;Doubt;Attack_on_reputation
342;If BDS is not anti-Semitic, why was I barred from participating in student government because of my Jewish identity;Doubt;Attack_on_reputation
343;Donald “Art of the Deal” Trump;Name_Calling_Labeling;Attack_on_reputation
344;Art of the Deal” Trump;Name_Calling_Labeling;Attack_on_reputation
345;Art of the Deal Trump;Name_Calling_Labeling,Repetition;Attack_on_reputation_Manipulative_wording
346;they demonstrate their lack of understanding about how things work in Washington, D.C;Doubt;Attack_on_reputation
347;isn’t even questioning that ludicrous notion;Exaggeration_Minimisation;Manipulative_wording
348;a grave threat to “national security;Exaggeration_Minimisation;Manipulative_wording
349;suspension of logic and common sense;Loaded_Language;Manipulative_wording
350;America’s sworn Cold War enemy ;Flag-Waving;Justification
351;skate blissfully across the Cold War stage of history with nary any abuse or harassment at all;Exaggeration_Minimisation;Manipulative_wording
352;Don’t make me laugh;Doubt;Attack_on_reputation
353;A blind man could see what was happening.;Exaggeration_Minimisation;Manipulative_wording
354;obviously sat on the request, undoubtedly hoping that he could get what he wanted in return if he just continued holding out and conveying that he was ready to release the records.	;Causal_Oversimplification;Simplification
355;with some earthshattering new information;Exaggeration_Minimisation;Manipulative_wording
356;the United States would fall into the ocean if Americans were finally permitted to see the CIA’s long-secret;Exaggeration_Minimisation;Manipulative_wording
357;it is a virtual certainly that when Art of the Deal Trump sent out those two tweets, he was sending a message to the CIA as part of the negotiations:;Causal_Oversimplification;Simplification
358;the records undoubtedly contain more incriminating circumstantial evidence that fills in the mosaic of a U.S. national-security regime-change operation on November 22, 1963.;Causal_Oversimplification;Simplification
359;ridiculous and illogical;Loaded_Language;Manipulative_wording
360;it knew would point to the CIA’s guilt in the assassination.;Causal_Oversimplification;Simplification
361;the obvious inference that people would draw — that the CIA was continuing to cover up incriminatory evidence.	;Causal_Oversimplification;Simplification
362;ludicrous notion.;Loaded_Language;Manipulative_wording
