Id:Start:End,text,Appeal_to_Authority,Appeal_to_fear-prejudice,Bandwagon,Black-and-White_Fallacy,Causal_Oversimplification,Doubt,Exaggeration_Minimisation,Flag-Waving,Loaded_Language,Name_Calling_Labeling,Obfuscation_Intentional_Vagueness_Confusion,Red_Herring,Reductio_ad_hitlerum,Repetition,Slogans,Straw_Men,Thought-terminating_Cliches,Whataboutism
111111113:4865:5007,"Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111111113:5743:5774,"a complete travesty of justice.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111113:5775:5791,"BUILD THE WALL!`",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111111113:259:280,"firestorm of outrage ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111113:3658:3664,"alien ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111113:5556:5580,"The Kate Steinle killer ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111122:170:206,"the biggest political gift possible ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111122:3490:3521,"extremely high-profile episode ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111122:5029:5062,"a gang that can’t shoot straight ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111122:5952:5983,"hazy old-time Hollywood casting",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:5133:5143,"ugly ways ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:903:921,"reality-TV star’s ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111122:24:49,"Exploding in Trump’s Face",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:449:478,"how badly Trump does his job ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111111122:889:957,"reflected the reality-TV star’s weakness as a presidential candidate",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111111122:3414:3441,"Trump hasn’t learned it yet",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111111122:1476:1523,"Trump is easily manipulated by those around him",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111111122:3993:4049,"Trump and his White House staff failed to do their jobs ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111111122:5531:5655,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111122:5780:5800,"cut-of-his-jib test ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:1637:1657,"cut-of-his-jib test ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:5842:5923,"someone who hires based on what he thinks someone doing that job should look like",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111111122:6841:6870,"partisan, conservative judges",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111122:343:357,"complete hash ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:3211:3225,"severe trouble",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:4451:4471,"a slur on all women ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111122:6443:6454,"bombshells ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:2650:2662,"has blasted ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:4098:4111,"are blasting ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:4661:4760,"a President who cares about nothing about the country and everything about his narrow self-interest",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111124:3368:3381,"sheer number ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111124:4622:4760,"This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
111111124:0:18,"Agencies scramble ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:107:123,"were scrambling ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:282:338,"has hamstrung the administration for more than 18 months",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:510:541,"disgraced former FBI officials ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111124:2478:2502,"fired FBI Special Agent ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111124:3557:3590,"are touting the president’s order",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:4170:4377,"Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111111124:4540:4576,"a red line that must not be crossed ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111124:4920:4936,"a partisan memo ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111124:4144:4164,"clear abuse of power",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:398:413,"despotic leader",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:1978:1993,"brutal dictator",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:5905:5917,"our soldiers",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111111131:4225:4231,"brutal",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:5939:5951,"our soldiers",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
111111131:1031:1068,"People are going to be very impressed",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111131:84:97,"unprecedented",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:102:109,"surreal",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:180:190,"culminated",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:207:214,"fulsome",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:326:336,"triumphant",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:352:365,"extraordinary",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:382:395,"rogue kingdom",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:723:731,"dramatic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:804:811,"forever",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111131:823:866,"Trump's gut-driven, norm-shattering tenure.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:1191:1201,"unwavering",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:2661:2672,"unthinkable",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:2729:2740,"acrimonious",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:2913:2924,"big dilemma",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:2898:2909,"big problem",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:3397:3417,"increasing the drama",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:3438:3446,"historic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:3739:3749,"surreality",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:4009:4015,"hailed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:4031:4039,"historic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111111131:5282:5290,"historic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111111131:4153:4170,"very talented man",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:4257:4265,"praising",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:4340:4353,"very talented",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111111131:4532:4547,"brutal dictator",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111111131:4636:4644,"striking",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:4753:4769,"fierce criticism",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:4883:4900,"fearsome renegade",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:5175:5187,"`absolutely`",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111131:5245:5263,"heralded a new era",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111131:5370:5379,"The world",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111131:6921:6938,"commanding leader",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:6958:6972,"world-altering",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111131:7315:7325,"futuristic",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111131:7701:7709,"dictator",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111111131:2954:2998,"Working together, we'll get it taken care of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111111132:7925:7943,"foundation of lies",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111132:147:151,"huge",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111132:2262:2272,"beneficial",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111132:2280:2292,"a good thing",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111132:4198:4249,"Bypassing the class left her vulnerable to bullying",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111132:4427:4497,"“You don’t need to be reading this.	You need to be reading the Bible.”",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111132:4307:4320,"going to hell",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111132:4779:4787,"strongly",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111132:7582:7594,"pretty clear",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111132:8607:8630,"You are not a Christian",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111132:9597:9651,"	(Faber was nominated by President George H.W.	Bush.)	",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111111132:10340:10350,"very, very",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111132:10851:10860,"extremely",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111132:12045:12087,"liberty of conscience is not up for a vote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111111132:5776:5811,"If you die tonight.	Heaven or Hell?",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111111134:945:984,"totally false and deliberately libelous",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111134:1415:1514,"willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111134:1225:1238,"I have never ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111111134:2427:2457,"government-aligned cyberspies ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111111137:2321:2332,"poison pill",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111111137:143:183,"the worst school shootings in US history",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111111137:2058:2065,"hailed ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:9221:9252,"for “certain” public adulterers",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:11573:11606,"cunning ecclesiastical politician",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:1366:1503,"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does.	",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
694327499:2798:2874,"And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:3032:3055,"our intrepid presenters",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694327499:3656:3688,"all those ignorant critics of AL",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694327499:4811:4934,"all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
694327499:4944:4979,"those ignorant Vatican translators.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694327499:5950:6080,"But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:6320:6343,"Our dynamic translators",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694327499:9393:9409,"synodal charade,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:9630:9695,"In a sense, what Bergoglio is doing is worse than explicit heresy",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694327499:11470:11662,"the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
694327499:11720:11770,"the grim reality of this unprecedented pontificate",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:110:142,"the old reliable “mistranslation",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
694327499:6296:6318,"But wait, there’s more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
694811415:274:321,"Paddock could not have carried out the massacre",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694811415:854:913,"I’m not a big conspiracy theory guy, but it don’t sit right",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
694811415:1013:1112,"Paddock’s body may have been left in the hotel room while other assailants carried out the shooting",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
694811415:1629:1719,"after virtually every terror attack and mass shooting, friends and neighbors express shock",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694811415:498:546,"I can tell you 100% this is not that kind of guy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694811415:1:23,"It’s gotta be a set-up",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
695833178:1992:2105,"This throws their entire narrative into question and makes one wonder what else is being hidden from the public?	",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
695833178:364:405,"seemingly covering up the ISIS connection",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
695833178:546:625,"Laura Loomer proves that authorities have directly lied to the American people ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695833178:2420:2439,"so-called evidence ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
695833178:597:624,"lied to the American people",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
695833178:76:103,"What Else Are They Hiding?	",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
695833178:1040:1095,"proving that the FBI specifically lied to the country.	",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
695833178:1074:1095,"lied to the country.	",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
695833178:837:955,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695833178:2420:2438,"so-called evidence",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
695833178:2510:2570,"cannot be trusted and should be considered as disinformation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
696246189:2850:2900,"munition was purchased under someone else’s name.	",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
696246189:861:883,"it was a suicide note.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
696246189:2554:2648,"ile officials did not reveal the woman’s name, they did tell reporters she was a prostitute.	P",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
696246189:3238:3279,"mo was bought under someone else’s name.”",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
696264594:388:414,"anti-Israel BDS hate group",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
696264594:490:522,"accused Jews of drinking blood.	",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696264594:899:972,"EU no longer considers #Hamas a terrorist group.	Time for US to do same.`",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696264594:1173:1208,"Holocaust Syndrome” of entitlement.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696264594:1313:1357,"Hezbollah as “an armed-resistance movement”	",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
696264594:3752:3766,"an anti-Israel",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
696264594:6029:6043,"Its perversion",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696264594:6754:6784,"accused Jews of drinking blood",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696264594:7337:7435,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.	",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696264594:3829:4015,"Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews.	Being Jewish is highly identified with being white because of Zionism",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
696264594:6201:6207,"simmer",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696264594:7013:7040,"We all have choices to make",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
696264594:7337:7433,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696694316:3987:4011,"just around the corner”.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
696694316:603:662,"very dirty and unappealing water under the Catholic bridge,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:1020:1096,"Who can read this without cringing at what we now know was about to happen:	",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
696694316:3276:3380,"Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:3471:4012,"The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard.	It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept.	It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”.	",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:4478:4501,"it was outright wicked.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:7026:7099,"this sacramental reality that was about to be catastrophically obscured.	",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:7971:8297,"…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament.	",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696694316:8298:8642,"Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,”",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696694316:9585:9821,"	We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second.	They are men who refuse to bend the knee before the God whom they will not serve.	",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696694316:9373:9584,"The demonic forces we know are the driving force behind this supreme moment of heresy and destruction aren’t really looking at the undermining of marriage as their primary goal; they want to get at the Eucharist",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
696694316:11102:11127,"is demonically brilliant.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:12634:12737,"will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:13456:13557,"But whatever its flaws, Mysterium Fidei is the one I found, and I’m convinced it wasn’t an accident.	",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
696694316:4376:4395,"pernicious nonsense",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696694316:10661:10866,"If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696694316:12738:12848,"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696735702:2630:2685,"why weren’t the police rushing to the scene immediately",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
696735702:1115:1141,"constantly changing story,",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
696735702:3585:3632,"While we may never know the exact circumstances",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697063039:1975:2072,"As the days have become weeks, the weeks will become months, and survival will get more difficult",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
697063039:1160:1220,"a natural disaster of a magnitude not seen in over a century",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
697063039:1375:1413,"the unprecedented level of destruction",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
697063039:1824:1853,"the hurricane-ravaged island ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
697063039:115:120,"wrath",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
697063039:142:152,"devastated",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
697063039:1226:1346,"we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
697063039:1828:1846,"hurricane-ravaged ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
697444415:512:539,"series of shocking comments",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
697444415:1313:1358,"alot of different things are going to happen.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
697444415:1471:1598,"Take note that what he means here is that people were being shot at from ground level rather than the 32nd floor of the hotel.	",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
697444415:2817:2831,"huge bombshell",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
697444415:2959:3024,"we are not being told what actually happened that fateful night.	",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697444415:2815:2860,"a huge bombshell in the ongoing investigation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697454736:8030:8056,"while Francis does nothing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
697454736:599:752,"Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin.	This, though, is not what AL is saying.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
697454736:3216:3400,"Pope Francis explains this again in AL 305 when he says “a small step, in the midst of great human limitations, can be more pleasing to God than a life which appears outwardly in order",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697454736:4856:5045,"With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697454736:7080:7178,"A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause.	",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697454736:7417:7446,"with an open heart and mind.	",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
697454736:8140:8197,"with an open heart and mind, but above all with open eyes",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
