,original_text,paraphrase
338,WHAT IF...,"""Imagine if..."""
357,MINES\n\nMITES\n,MINETTES
405,UKRAINE,uKrAiNe
417,Ukraine\n\nPutin,Putin\n\nUkraine?
429,This is Florida!,"This...is...FLORIDA, baby!"
464,I'M WITH THEM\n,I STAN.
525,TOUCHHARD\nJOE,"HARDTOUCH
BRO"
586,MoneyPox,Cash-Pox
598,НОРЕ\n,Норка
785,Martha's Vineyard,Marthina's Grapes-on-the-Vineyard
842,PUT IN\n\nPUT OUT,"INPUT:

OUTPUT:"
